day,avg_temperature_deg_c,avg_barometric_pressure_hpa,avg_wind_speed_ms
2018-08-30,17.533333333333335,1003.3819444444445,5.0625
2018-08-31,13.320138888888888,1005.2666666666667,4.7756944444444445
2018-09-01,13.136111111111111,1017.0930555555556,1.9798611111111113
2018-09-02,10.777083333333334,1022.4888888888888,1.9381944444444446
2018-09-03,9.766666666666667,1026.2958333333333,2.0923611111111113
2018-09-04,10.711805555555555,1022.6104166666667,1.7652777777777777
2018-09-05,17.12222222222222,1012.0993055555555,3.2604166666666665
2018-09-06,12.677083333333334,1012.3722222222223,2.3006944444444444
2018-09-07,10.153472222222222,1018.1923611111112,1.4347222222222222
2018-09-08,13.613194444444444,1019.4229166666667,1.9861111111111112
2018-09-09,14.42361111111111,1023.5083333333334,1.8423611111111111
2018-09-10,16.716666666666665,1022.1770833333334,2.23125
2018-09-11,17.915972222222223,1012.8805555555555,4.977083333333334
2018-09-12,12.745138888888889,1019.3847222222222,2.1277777777777778
2018-09-13,13.509722222222223,1018.6812500000001,1.7576388888888888
2018-09-14,19.735416666666666,1010.1798611111111,3.9444444444444446
2018-09-15,11.832638888888889,1019.1770833333334,4.643055555555556
2018-09-16,10.121527777777779,1024.6409722222222,1.4395833333333334
2018-09-17,14.443055555555556,1016.2750000000001,4.0680555555555555
2018-09-18,14.03125,1014.2402777777778,2.607638888888889
2018-09-19,11.406944444444443,1019.6194444444445,2.1506944444444445
2018-09-20,13.435416666666667,1024.117361111111,1.7374999999999998
2018-09-21,15.25902777777778,1025.798611111111,1.5729166666666667
2018-09-22,16.893055555555556,1026.3305555555555,2.204861111111111
2018-09-23,15.210416666666667,1028.7527777777777,3.0805555555555557
2018-09-24,14.003472222222221,1027.4833333333333,2.736111111111111
2018-09-25,13.656944444444443,1023.9909722222224,2.1770833333333335
2018-09-26,17.399305555555557,1017.4590277777778,2.1083333333333334
2018-09-27,15.339583333333334,1017.2597222222222,2.079861111111111
2018-09-28,12.913194444444445,1021.21875,2.6881944444444446
2018-09-29,11.351388888888888,1027.2083333333333,2.7631944444444443
2018-09-30,18.020833333333332,1025.197222222222,2.7006944444444443
2018-10-01,21.640277777777776,1019.1520833333333,2.470833333333333
2018-10-02,23.148611111111112,1015.1055555555556,2.897222222222222
2018-10-03,17.025,1017.4375,3.2
2018-10-04,13.595833333333333,1022.7930555555556,3.5618055555555554
2018-10-05,12.779166666666667,1022.2861111111112,2.3138888888888887
2018-10-06,17.405555555555555,1018.1180555555555,1.3986111111111112
2018-10-07,23.831944444444446,1014.9458333333334,2.0875000000000004
2018-10-08,20.850694444444443,1013.6965277777776,3.098611111111111
2018-10-09,15.114583333333334,1017.0944444444444,3.1180555555555554
2018-10-10,14.95972222222222,1019.0423611111112,3.295138888888889
2018-10-11,16.240972222222222,1017.9590277777778,3.086111111111111
2018-10-12,22.88611111111111,1014.8499999999999,2.4722222222222223
2018-10-13,25.961805555555557,1010.6680555555556,2.8583333333333334
2018-10-14,26.35763888888889,1006.8965277777778,4.572222222222222
2018-10-15,23.55902777777778,1004.5201388888888,5.961805555555555
2018-10-16,16.61111111111111,1015.8777777777777,4.015972222222222
2018-10-17,14.904861111111112,1018.5541666666666,3.0465277777777775
2018-10-18,16.924305555555556,1014.873611111111,1.2597222222222222
2018-10-19,21.797916666666666,1009.4159722222222,4.593055555555555
2018-10-20,15.506250000000001,1019.0451388888889,2.8555555555555556
2018-10-21,18.535416666666666,1016.5402777777776,2.0458333333333334
2018-10-22,23.479166666666668,1010.3006944444444,4.253472222222222
2018-10-23,15.970138888888888,1017.9340277777778,3.1215277777777777
2018-10-24,17.799999999999997,1018.0979166666667,2.142361111111111
2018-10-25,18.71597222222222,1017.3868055555556,2.567361111111111
2018-10-26,18.843055555555555,1018.5854166666666,3.0055555555555555
2018-10-27,18.35,1017.2236111111112,2.1131944444444444
2018-10-28,17.876388888888886,1017.0597222222223,1.8479166666666669
2018-10-29,17.49652777777778,1016.4583333333334,1.9729166666666669
2018-10-30,22.342361111111114,1014.6993055555556,2.1680555555555556
2018-10-31,28.899305555555557,1012.1430555555556,2.075
2018-11-01,29.99652777777778,1010.032638888889,3.509722222222222
2018-11-02,25.219444444444445,1013.1881944444444,3.591666666666667
2018-11-03,18.65,1018.6944444444445,1.9256944444444446
2018-11-04,22.82638888888889,1011.1090277777779,2.163888888888889
2018-11-05,22.420833333333334,1005.4666666666667,2.513888888888889
2018-11-06,18.47152777777778,1008.4951388888888,2.8569444444444443
2018-11-07,14.102083333333333,1016.8659722222224,3.323611111111111
2018-11-08,15.286805555555556,1021.3395833333333,1.5756944444444445
2018-11-09,18.97152777777778,1018.0305555555556,2.420138888888889
2018-11-10,20.825000000000003,1016.8388888888888,2.134027777777778
2018-11-11,24.710416666666667,1014.7354166666667,2.070138888888889
2018-11-12,27.896527777777777,1010.3652777777778,3.1083333333333334
2018-11-13,21.445833333333333,1010.3854166666666,2.8715277777777777
2018-11-14,19.14236111111111,1017.5979166666667,3.48125
2018-11-15,18.458333333333332,1021.0666666666667,3.1694444444444443
2018-11-16,19.191666666666666,1020.0152777777779,3.3243055555555556
2018-11-17,20.063888888888886,1018.8090277777778,3.3868055555555556
2018-11-18,25.30138888888889,1012.6541666666667,2.0062499999999996
2018-11-19,29.23611111111111,1006.4131944444445,3.1041666666666665
2018-11-20,18.09861111111111,1007.1361111111112,2.477777777777778
2018-11-21,14.449305555555554,1004.9041666666667,5.6194444444444445
2018-11-22,13.583333333333334,1011.4090277777777,4.588888888888889
2018-11-23,14.292361111111111,1014.6395833333333,2.292361111111111
2018-11-24,14.778472222222222,1008.5749999999999,1.6722222222222223
2018-11-25,18.179861111111112,1007.8625000000001,2.60625
2018-11-26,18.272916666666667,1007.0319444444444,1.7958333333333334
2018-11-27,15.837499999999999,1007.4430555555555,2.404166666666667
2018-11-28,15.805555555555555,1013.8923611111111,3.146527777777778
2018-11-29,17.380555555555556,1014.1145833333334,2.3979166666666667
2018-11-30,22.61111111111111,1011.9013888888888,1.8722222222222225
2018-12-01,25.329166666666666,1004.5840277777778,4.523611111111111
2018-12-02,18.410416666666666,1012.0743055555556,3.729861111111111
2018-12-03,19.438888888888886,1015.8548611111112,2.2006944444444443
2018-12-04,22.29861111111111,1015.6152777777778,2.511111111111111
2018-12-05,29.571527777777778,1012.4263888888888,2.216666666666667
2018-12-06,32.56736111111111,1009.3916666666667,2.6722222222222225
2018-12-07,31.389583333333334,1009.3937500000001,4.040277777777778
2018-12-08,24.218055555555555,1013.7958333333333,4.004166666666666
2018-12-09,22.54236111111111,1013.9368055555556,2.7104166666666667
2018-12-10,23.890972222222224,1014.1041666666666,4.081944444444444
2018-12-11,27.384027777777778,1009.8194444444445,2.33125
2018-12-12,25.718055555555555,1003.7444444444445,2.7027777777777775
2018-12-13,16.15138888888889,1009.6805555555555,5.902083333333334
2018-12-14,17.07361111111111,1005.8625000000001,5.195833333333334
2018-12-15,19.936111111111114,1005.1631944444445,2.7340277777777775
2018-12-16,20.531944444444445,1008.3347222222224,2.870833333333333
2018-12-17,24.088194444444444,1009.5437499999999,3.3187499999999996
2018-12-18,30.555555555555557,1007.8298611111111,3.2604166666666665
2018-12-19,31.488194444444446,1004.4902777777778,4.65
2018-12-20,21.218055555555555,1011.8874999999999,4.09375
