,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-03 18:00:00,9022.06,8512.25,1496.81,1149.94,5454.29
2024-01-03 18:30:00,8940.33,8554.9,1526.4,1148.53,5455.59
2024-01-03 19:00:00,8951.42,8544.77,1526.4,1167.05,5358.48
2024-01-03 19:30:00,8948.58,8424.35,1543.73,1126.56,5269.39
2024-01-03 20:00:00,8698.66,8220.19,1545.07,1094.22,5115.76
2024-01-03 20:30:00,8479.2,8101.89,1534.03,1060.24,4943.81
2024-01-03 21:00:00,8331.93,7888.16,1494.48,1077.54,4706.35
2024-01-03 21:30:00,8169.59,7604.21,1472.54,1067.15,4493.39
2024-01-03 22:00:00,8008.28,7239.21,1450.21,1024.3,4334.9
2024-01-03 22:30:00,7813.74,7010.3,1421.07,1009.49,4246.14
2024-01-03 23:00:00,7615.15,6812.42,1405.56,999.03,4284.29
2024-01-03 23:30:00,7449.84,6616.4,1472.19,968.07,4264.16
2024-01-04 00:00:00,7234.56,6426.77,1475.7,973.84,4101.6
2024-01-04 00:30:00,6982.04,6283.84,1489.06,988.85,3981.16
2024-01-04 01:00:00,6760.18,6186.03,1462.97,953.86,3895.79
2024-01-04 01:30:00,6605.94,6107.87,1419.21,986.62,3791.97
2024-01-04 02:00:00,6481.37,6012.34,1386.36,993.11,3677.48
2024-01-04 02:30:00,6419.85,5976.07,1344.46,984.9,3595.84
2024-01-04 03:00:00,6388.93,5918.3,1334.09,975.72,3594.57
2024-01-04 03:30:00,6394.42,5913.93,1314.59,973.74,3612.86
2024-01-04 04:00:00,6500.5,5905.11,1301.92,979.21,3677.48
2024-01-04 04:30:00,6592.91,5947.54,1318.98,997.61,3792.84
2024-01-04 05:00:00,6757.06,5961.9,1319.62,976.3,3900.96
2024-01-04 05:30:00,6886.27,5951.77,1355.78,988.03,3999.36
2024-01-04 06:00:00,6932.22,5904.02,1383.66,1020.62,4137.78
2024-01-04 06:30:00,6875.99,5862.67,1452.79,1038.94,4263.92
2024-01-04 07:00:00,7053.76,5859.8,1481.21,1038.38,4306.04
2024-01-04 07:30:00,7116.12,5762.15,1466.69,1061.31,4241.79
2024-01-04 08:00:00,7039.6,5815.76,1455.31,1045.72,4204.54
2024-01-04 08:30:00,6896.06,6156.88,1365.02,1036.78,4082.51
2024-01-04 09:00:00,6798.06,6239.85,1335.66,1022.93,3923.69
