,QLD1,NSW1,VIC1,SA1,TAS1
2024-01-20 15:00,8548.3,7953.87,4037.13,1304.86,951.42
2024-01-20 18:00,8945.8,8816.72,4902.79,1862.75,1014.84
2024-01-20 21:00,7732.42,7940.31,4530.66,1529.51,988.26
2024-01-21 00:00,6655.83,6786.62,3906.46,1345.42,950.34
2024-01-21 03:00,6320.54,6420.09,3539.79,1210.61,926.29
2024-01-21 06:00,6008.23,6181.46,3354.04,963.58,954.95
2024-01-21 09:00,6117.96,6350.67,3264.24,294.18,928.93
2024-01-21 12:00,6880.58,8027.04,3029.2,182.62,920.81
2024-01-21 15:00,8998.87,10905.39,3468.2,675.31,998.27
2024-01-21 18:00,9775.31,11795.01,4497.25,1427.37,1041.22
2024-01-21 21:00,8072.67,8914.75,4151.64,1383.18,983.07
2024-01-22 00:00,6853.05,7089.81,3746.05,1350.65,964.28
2024-01-22 03:00,6617.67,7073.3,3804.43,1277.41,1029.48
2024-01-22 06:00,7368.49,7905.02,4454.28,1271.81,1138.56
2024-01-22 09:00,7598.43,7131.49,3571.36,608.03,1027.73
2024-01-22 12:00,8658.99,7169.43,2970.9,524.37,970.04
2024-01-22 15:00,10548.74,8489.67,3822.7,1137.58,1078.3
2024-01-22 18:00,9936.04,8579.64,4809.06,1877.68,1186.08
2024-01-22 21:00,8079.65,7715.39,4436.2,1623.39,1053.48
2024-01-23 00:00,6781.89,6666.28,4031.25,1496.23,975.82
2024-01-23 03:00,6577.53,6789.84,4201.51,1434.94,1012.74
2024-01-23 06:00,7290.69,7725.89,4548.48,1492.32,1166.25
2024-01-23 09:00,7307.62,7054.67,3410.25,1245.4,1061.91
2024-01-23 12:00,7414.11,7004.89,3848.89,1507.02,1002.79
2024-01-23 15:00,8237.36,8172.07,5489.08,2121.44,1029.52
2024-01-23 18:00,8489.22,8762.97,6301.2,2650.87,1084.53
2024-01-23 21:00,7260.03,7831.46,4954.21,2045.67,961.09
2024-01-24 00:00,6252.62,6760.64,4250.92,1737.65,908.86
2024-01-24 03:00,6138.83,6765.89,4385.03,1594.63,969.35
2024-01-24 06:00,6489.18,7223.07,5192.63,1758.17,1108.62
2024-01-24 09:00,6137.83,6752.63,4588.15,1531.62,972.66
2024-01-24 12:00,6402.02,8361.41,5269.85,1197.4,930.39
2024-01-24 15:00,7884.52,10063.4,5860.8,1679.2,1070.75
2024-01-24 18:00,8661.09,10260.09,6013.73,1899.03,1167.61
2024-01-24 21:00,7198.47,8648.3,4976.98,1672.77,1042.47
2024-01-25 00:00,6114.81,7220.06,4372.59,1504.88,982.62
2024-01-25 03:00,5968.21,7272.37,4503.43,1399.19,1051.17
2024-01-25 06:00,6246.13,8733.34,5251.98,1524.44,1123.84
2024-01-25 09:00,5924.95,9663.94,4948.86,1371.42,1032.75
2024-01-25 12:00,6462.52,10181.01,5351.16,1514.85,958.8
2024-01-25 15:00,8224.22,11017.08,5552.23,1542.18,1092.14
2024-01-25 18:00,8742.51,10635.61,5162.03,1505.28,1137.63
2024-01-25 21:00,7258.65,8984.5,4513.5,1363.96,1000.32
2024-01-26 00:00,6080.34,7407.01,3853.12,1298.37,979.51
2024-01-26 03:00,5842.2,6994.93,3575.76,1225.66,980.64
2024-01-26 06:00,5810.48,7395.41,3386.78,1087.75,1036.55
2024-01-26 09:00,6565.56,8822.67,2691.55,427.35,998.76
2024-01-26 12:00,7260.89,9246.76,2194.92,118.78,950.1
2024-01-26 15:00,8413.44,9621.97,3126.69,566.58,1016.28
2024-01-26 18:00,8992.31,9124.36,4351.86,1307.28,1061.95
2024-01-26 21:00,7854.56,8242.76,4198.71,1287.77,1000.11
2024-01-27 00:00,6727.04,6971.87,3747.57,1270.7,934.24
2024-01-27 03:00,6431.91,6648.6,3549.53,1166.38,948.34
2024-01-27 06:00,6420.51,7051.4,3305.59,984.12,1021.86
2024-01-27 09:00,6867.67,7105.95,2348.73,399.6,1016.77
2024-01-27 12:00,7781.31,6767.94,2075.8,98.88,979.65
2024-01-27 15:00,9426.57,7532.93,3359.52,479.36,1074.74
2024-01-27 18:00,9863.79,8106.8,4493.38,1291.43,1115.33
2024-01-27 21:00,8399.41,7557.74,4213.01,1306.31,1049.1
2024-01-28 00:00,7163.01,6581.29,3836.94,1242.01,1024.18
2024-01-28 03:00,6609.8,6303.58,3702.64,1135.47,1027.15
2024-01-28 06:00,6821.7,6216.28,3385.74,958.56,1059.17
2024-01-28 09:00,7186.69,5604.36,2700.18,317.88,998.56
2024-01-28 12:00,7148.97,6027.13,2305.12,134.79,1002.55
2024-01-28 15:00,8419.76,7839.13,3856.56,678.65,1096.54
2024-01-28 18:00,9158.62,8650.1,5361.92,1525.3,1172.11
2024-01-28 21:00,7835.17,7662.39,4768.64,1409.97,1107.63
2024-01-29 00:00,6757.91,6711.07,4177.01,1344.47,1048.7
2024-01-29 03:00,6689.99,6918.96,4304.29,1277.64,1097.51
2024-01-29 06:00,7660.58,7810.87,4757.49,1254.97,1164.04
2024-01-29 09:00,7912.28,7412.72,3941.88,736.36,1065.02
2024-01-29 12:00,8603.76,8704.45,4223.93,686.26,1033.23
2024-01-29 15:00,9669.63,11093.21,5276.17,1225.03,1113.73
2024-01-29 18:00,9627.68,11022.77,5698.42,1766.86,1171.07
2024-01-29 21:00,7988.82,8775.86,4729.82,1508.27,1109.28
2024-01-30 00:00,6813.38,7370.88,4165.69,1375.33,1070.96
2024-01-30 03:00,6619.61,7422.61,4264.0,1290.65,1120.56
2024-01-30 06:00,7698.76,8851.7,4849.8,1270.61,1173.03
2024-01-30 09:00,7833.38,8521.45,3611.41,661.68,1029.61
2024-01-30 12:00,8038.32,8569.34,3649.48,487.67,984.46
2024-01-30 15:00,8692.69,9920.9,4835.94,922.66,1097.73
2024-01-30 18:00,8805.13,9783.27,5547.64,1562.52,1202.34
2024-01-30 21:00,7472.51,8416.54,4673.0,1464.03,1063.49
2024-01-31 00:00,6352.63,7159.22,4086.06,1405.68,968.03
2024-01-31 03:00,6269.71,7176.61,4128.23,1328.41,1007.96
2024-01-31 06:00,6841.7,8396.42,4575.77,1357.01,1082.32
2024-01-31 09:00,6507.16,8352.01,3801.97,797.33,925.61
2024-01-31 12:00,6697.42,8291.77,3341.1,319.98,897.79
2024-01-31 15:00,7998.15,9375.5,4197.35,745.51,1018.66
2024-01-31 18:00,8663.28,9198.7,5223.83,1502.31,1093.57
2024-01-31 21:00,7306.2,8027.16,4591.18,1432.26,1018.17
2024-02-01 00:00,6221.32,6856.91,4146.01,1338.19,996.21
2024-02-01 03:00,6123.15,6971.1,4253.61,1245.88,1018.44
2024-02-01 06:00,6505.92,8019.73,4710.74,1227.99,1079.03
2024-02-01 09:00,6163.86,6861.55,3709.14,546.86,979.29
2024-02-01 12:00,6492.31,7127.66,3199.26,382.15,992.32
2024-02-01 15:00,8031.7,9957.83,4328.02,850.88,1049.19
2024-02-01 18:00,8808.45,10498.11,5341.34,1559.29,1126.39
2024-02-01 21:00,7475.56,8472.81,4567.85,1434.88,1031.45
2024-02-02 00:00,6243.32,7125.15,3983.89,1372.63,953.04
2024-02-02 03:00,6112.53,7118.6,4088.95,1262.33,997.35
2024-02-02 06:00,6315.15,7886.23,4473.59,1280.33,1098.28
2024-02-02 09:00,5728.02,7255.65,3347.34,643.66,1010.15
2024-02-02 12:00,6612.44,8002.22,2866.09,463.13,971.51
2024-02-02 15:00,8810.35,10253.36,3924.78,991.84,1037.12
2024-02-02 18:00,9264.93,9763.38,5151.6,1612.38,1160.62
2024-02-02 21:00,7769.2,8159.06,4657.27,1418.56,1126.91
2024-02-03 00:00,6605.24,6864.56,4129.88,1307.41,1068.8
2024-02-03 03:00,6295.51,6492.61,4001.82,1210.33,1083.27
2024-02-03 06:00,6137.08,7007.24,3708.18,1037.65,1071.14
2024-02-03 09:00,6128.08,6680.37,2732.13,560.74,992.82
2024-02-03 12:00,6730.97,6479.46,2999.91,638.59,977.88
2024-02-03 15:00,8574.82,8517.19,5038.69,1259.37,1082.07
2024-02-03 18:00,9106.37,9236.22,5894.68,1886.17,1196.91
2024-02-03 21:00,7748.4,8034.93,4897.71,1598.28,1119.47
2024-02-04 00:00,6608.81,6876.06,4260.71,1426.63,1059.38
2024-02-04 03:00,6294.88,6531.4,4015.41,1289.72,1070.59
2024-02-04 06:00,6017.65,6483.53,3673.02,1138.8,1094.89
2024-02-04 09:00,6324.08,6565.77,3250.51,886.13,1083.84
2024-02-04 12:00,7073.13,8651.91,4276.48,1132.41,1053.93
2024-02-04 15:00,8470.61,11459.52,6632.32,1694.61,1176.31
2024-02-04 18:00,8965.34,11611.58,7422.29,2177.3,1233.85
2024-02-04 21:00,7446.92,9310.63,5571.97,1691.99,1047.5
2024-02-05 00:00,6471.5,7646.5,4663.54,1473.19,1050.81
2024-02-05 03:00,6386.9,7771.29,4641.99,1391.91,1059.38
2024-02-05 06:00,6901.96,9669.95,5529.67,1552.01,1163.27
2024-02-05 09:00,6309.36,10444.96,5383.91,1253.51,986.87
2024-02-05 12:00,6791.77,11256.05,5051.86,751.29,975.62
2024-02-05 15:00,9053.59,11993.04,5108.18,846.32,1091.17
2024-02-05 18:00,9525.0,11197.06,5127.82,1456.7,1200.93
2024-02-05 21:00,7862.91,9158.54,4545.0,1380.31,1125.06
2024-02-06 00:00,6654.02,7665.46,4046.09,1321.84,1050.97
2024-02-06 03:00,6538.97,7599.5,4172.04,1250.89,1095.49
2024-02-06 06:00,7110.1,8810.08,4562.11,1235.8,1161.94
2024-02-06 09:00,6899.21,8524.66,3275.35,556.63,1064.28
2024-02-06 12:00,7794.97,8072.83,2948.15,219.51,1025.63
2024-02-06 15:00,9521.55,8694.59,3745.05,605.0,1107.42
2024-02-06 18:00,9896.47,8587.82,5027.49,1409.25,1176.48
2024-02-06 21:00,8183.51,7544.74,4580.36,1380.67,1073.55
2024-02-07 00:00,6842.29,6498.88,4165.09,1336.95,1008.01
2024-02-07 03:00,6688.81,6607.62,4263.61,1263.09,1062.87
2024-02-07 06:00,7340.33,7286.02,4617.81,1267.25,1118.06
2024-02-07 09:00,7126.6,6457.76,3342.11,578.73,988.72
2024-02-07 12:00,7616.93,6626.26,3032.91,334.81,965.31
2024-02-07 15:00,8727.92,8052.63,3935.82,737.71,1013.32
2024-02-07 18:00,8945.87,8109.57,5112.42,1483.58,1180.46
2024-02-07 21:00,7554.5,7345.76,4521.8,1418.43,1055.32
2024-02-08 00:00,6427.98,6437.6,4056.81,1349.43,1023.76
2024-02-08 03:00,6307.03,6557.83,4188.45,1253.66,1068.08
2024-02-08 06:00,6771.48,7340.01,4681.06,1266.8,1177.41
2024-02-08 09:00,6635.45,6522.64,3292.83,543.55,1035.54
2024-02-08 12:00,7011.17,6750.21,3144.13,407.79,988.29
2024-02-08 15:00,8250.14,7714.54,4366.33,870.98,1093.83
2024-02-08 18:00,8900.63,8202.32,5356.27,1559.41,1213.26
2024-02-08 21:00,7505.65,7371.1,4612.75,1444.19,1105.43
2024-02-09 00:00,6389.25,6461.15,4158.68,1370.12,1052.35
2024-02-09 03:00,6276.4,6584.46,4297.82,1259.92,1095.71
2024-02-09 06:00,6799.94,7109.71,4906.81,1260.71,1165.59
2024-02-09 09:00,6457.51,6197.98,3948.66,568.35,1035.21
2024-02-09 12:00,6616.99,6359.54,3294.35,458.78,1019.18
2024-02-09 15:00,7620.91,7814.77,4048.16,932.47,1050.46
2024-02-09 18:00,8250.63,8169.02,5071.08,1529.42,1149.6
2024-02-09 21:00,7279.06,7578.19,4391.29,1415.43,1081.47
2024-02-10 00:00,6279.34,6604.27,3814.07,1332.66,1020.04
2024-02-10 03:00,6058.65,6296.79,3672.4,1212.68,1047.53
2024-02-10 06:00,6041.47,6734.02,3727.23,1105.96,1111.51
2024-02-10 09:00,5805.31,5990.55,2645.33,458.02,960.22
2024-02-10 12:00,6159.86,5357.41,2628.62,294.08,918.76
2024-02-10 15:00,7232.04,6867.04,4265.83,830.7,1010.71
2024-02-10 18:00,7810.51,7793.33,5415.37,1571.48,1145.93
2024-02-10 21:00,6954.56,7232.46,4735.33,1414.56,1046.93
2024-02-11 00:00,6199.24,6297.98,4127.65,1305.65,923.49
2024-02-11 03:00,5937.99,6042.7,3853.67,1178.28,989.3
2024-02-11 06:00,5525.85,6012.45,3621.17,1024.84,1021.32
2024-02-11 09:00,5071.41,5636.25,3108.87,636.66,956.56
2024-02-11 12:00,5532.08,5808.75,3917.27,703.6,900.46
2024-02-11 15:00,7310.22,7252.4,6263.71,1202.84,1097.17
2024-02-11 18:00,8280.29,8236.84,6797.52,1839.06,1195.93
2024-02-11 21:00,7081.93,7420.89,5251.29,1576.79,1102.7
2024-02-12 00:00,6202.92,6582.06,4469.52,1451.8,1061.29
2024-02-12 03:00,6176.61,6725.21,4433.28,1360.71,1113.55
2024-02-12 06:00,6564.17,7534.42,5266.69,1453.42,1168.04
2024-02-12 09:00,6164.06,6444.37,5064.15,1061.21,1071.92
2024-02-12 12:00,6305.86,7225.15,6231.19,1228.43,1040.37
2024-02-12 15:00,7825.95,9962.17,7769.91,1913.28,1211.24
2024-02-12 18:00,8501.29,10101.97,7391.19,2438.38,1249.1
2024-02-12 21:00,7198.63,8386.98,5551.72,1847.71,1160.28
2024-02-13 00:00,6236.11,7068.84,4638.56,1572.89,1090.73
2024-02-13 03:00,6221.31,7116.58,4651.46,1447.15,1132.19
2024-02-13 06:00,6723.26,7931.96,5860.35,1580.86,1205.35
2024-02-13 09:00,6324.08,7248.67,6065.49,1063.8,1057.76
2024-02-13 12:00,6653.56,8968.12,7042.46,812.09,1192.84
2024-02-13 15:00,7720.56,10375.94,5524.05,1140.31,1136.93
2024-02-13 18:00,8412.51,10084.8,5075.81,1652.21,1104.37
2024-02-13 21:00,7197.75,8324.32,4246.49,1501.84,1015.49
2024-02-14 00:00,6235.97,7017.43,3702.28,1358.89,964.47
2024-02-14 03:00,6206.97,7035.95,3894.54,1266.11,962.16
2024-02-14 06:00,6641.73,8142.4,4538.75,1270.63,1047.09
2024-02-14 09:00,6292.32,7879.34,3678.66,752.57,948.58
2024-02-14 12:00,6782.82,8218.64,3244.75,333.1,930.09
2024-02-14 15:00,8628.03,9276.21,3937.78,667.71,1051.84
2024-02-14 18:00,8918.78,8703.38,4960.96,1427.38,1140.87
2024-02-14 21:00,7513.44,7605.42,4445.29,1406.53,1087.22
2024-02-15 00:00,6463.99,6608.19,4019.31,1343.43,1043.79
2024-02-15 03:00,6372.05,6805.59,4191.88,1250.23,1107.54
2024-02-15 06:00,7008.27,7887.77,4595.14,1257.9,1180.26
2024-02-15 09:00,6883.09,7442.15,3135.27,540.22,1061.12
2024-02-15 12:00,7281.1,7421.22,2936.41,349.03,1021.46
2024-02-15 15:00,8019.37,8188.71,4245.49,771.59,1134.39
2024-02-15 18:00,8399.66,8381.01,5121.96,1523.42,1220.29
2024-02-15 21:00,7162.17,7591.4,4517.49,1429.82,1115.74
2024-02-16 00:00,6204.83,6712.82,4020.04,1350.59,1063.17
2024-02-16 03:00,6218.16,6918.48,4197.61,1272.85,1119.26
2024-02-16 06:00,7253.64,8216.99,5033.08,1282.34,1192.38
2024-02-16 09:00,7272.66,7688.13,3957.32,601.38,1055.06
2024-02-16 12:00,7046.38,7658.81,3304.96,438.43,1045.21
2024-02-16 15:00,7353.31,9256.24,4303.98,911.97,1124.41
2024-02-16 18:00,7418.04,9173.29,5217.41,1614.46,1194.62
2024-02-16 21:00,6564.27,8196.99,4575.07,1462.44,1106.74
2024-02-17 00:00,5868.3,6990.43,4105.21,1354.11,1031.64
2024-02-17 03:00,5712.43,6734.0,3964.34,1245.4,1055.97
2024-02-17 06:00,5472.84,7066.07,4265.32,1120.15,1136.69
2024-02-17 09:00,5070.66,6716.05,3533.99,512.75,1035.91
2024-02-17 12:00,5411.99,8059.13,2725.38,541.26,1004.13
2024-02-17 15:00,6968.95,9654.62,3995.44,1180.16,1112.87
2024-02-17 18:00,7809.08,9515.85,5013.66,1709.01,1171.99
2024-02-17 21:00,6798.44,8171.93,4515.75,1514.45,1086.49
2024-02-18 00:00,5867.1,6869.76,4071.45,1398.94,1002.7
2024-02-18 03:00,5675.15,6550.1,3826.55,1256.79,1022.84
2024-02-18 06:00,5326.45,6689.43,3805.52,1130.74,1060.15
2024-02-18 09:00,4897.18,6254.35,2985.93,669.07,958.21
2024-02-18 12:00,5296.21,8319.17,2315.8,675.08,952.17
2024-02-18 15:00,7107.93,9612.93,3809.64,1362.25,1130.4
2024-02-18 18:00,8169.55,9245.79,4929.63,1935.49,1206.85
2024-02-18 21:00,6897.84,7823.52,4351.37,1563.22,1073.74
